step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
26,bsp_0,0.6689864463030226,0.0,WARNING,SAFE,normal,bsp_1,0.6689864463030226
27,bsp_0,0.38888790478205204,0.0,CAUTION,SAFE,normal,bsp_1,0.38888790478205204
28,bsp_1,0.0,0.7783313004073372,SAFE,WARNING,normal,bsp_0,0.7783313004073372
29,bsp_1,0.0,0.7518795916870563,SAFE,WARNING,normal,bsp_0,0.7518795916870563
76,bsp_3,0.0,0.6646339629185364,SAFE,WARNING,normal,bsp_0,0.6646339629185364
83,bsp_4,0.6799813308372411,0.0,WARNING,SAFE,normal,bsp_0,0.6799813308372411
84,bsp_4,0.5115005474735783,2.4510663568584914e-28,CAUTION,SAFE,normal,bsp_0,0.5115005474735783
85,bsd_demo_2,1.3490294584618513e-39,0.682589828021882,SAFE,WARNING,normal,bsp_2,0.682589828021882
85,bsp_4,0.6295069398470828,4.349275742153005e-87,CAUTION,SAFE,normal,bsp_0,0.6295069398470828
86,bsd_demo_2,0.0,0.6325175845839823,SAFE,WARNING,normal,bsp_2,0.6325175845839823
86,bsp_2,0.5342690273238613,4.760198510537587e-27,CAUTION,SAFE,normal,bsp_0,0.5342690273238613
86,bsp_4,0.4199780001030636,0.0,CAUTION,SAFE,normal,bsp_0,0.4199780001030636
87,bsd_demo_2,1.6548779080026864e-39,0.6623989622883452,SAFE,WARNING,normal,bsp_2,0.6623989622883452
87,bsp_2,0.30940662269534003,0.0,CAUTION,SAFE,normal,bsp_0,0.30940662269534003
87,bsp_4,0.5229026668670853,2.5058065596421632e-200,CAUTION,SAFE,normal,bsp_0,0.5229026668670853
88,bsd_demo_2,0.0,0.7308441080018029,SAFE,WARNING,normal,bsp_2,0.7308441080018029
88,bsp_4,0.49603420454639247,0.0,CAUTION,SAFE,normal,bsp_0,0.49603420454639247
89,bsd_demo_2,0.0,0.7501801897095414,SAFE,WARNING,normal,bsp_2,0.7501801897095414
89,bsp_3,0.0,0.3181359777838454,SAFE,CAUTION,normal,bsp_0,0.3181359777838454
89,bsp_4,0.4855614484570809,2.7734375520838084e-73,CAUTION,SAFE,normal,bsp_0,0.4855614484570809
90,bsd_demo_2,1.1156581930659205e-59,0.7529029669802445,SAFE,WARNING,normal,bsp_2,0.7529029669802445
90,bsp_4,0.49636849318136694,0.0,CAUTION,SAFE,normal,bsp_0,0.49636849318136694
91,bsd_demo_2,0.0,0.7540016523089752,SAFE,WARNING,normal,bsp_2,0.7540016523089752
91,bsp_4,0.42605057788615086,0.0,CAUTION,SAFE,normal,bsp_0,0.42605057788615086
92,bsd_demo_2,7.475443183667027e-71,0.7534627005373028,SAFE,WARNING,normal,bsp_2,0.7534627005373028
93,bsd_demo_2,0.0,0.7507879209731678,SAFE,WARNING,normal,bsp_2,0.7507879209731678
94,bsd_demo_2,7.136955343870039e-37,0.7349812264264999,SAFE,WARNING,normal,bsp_2,0.7349812264264999
95,bsd_demo_2,0.0,0.7328716059000249,SAFE,WARNING,normal,bsp_2,0.7328716059000249
96,bsd_demo_2,3.1918630528776103e-34,0.6941275327876548,SAFE,WARNING,normal,bsp_2,0.6941275327876548
97,bsd_demo_2,0.0,0.7331593916415752,SAFE,WARNING,normal,bsp_2,0.7331593916415752
103,bsp_6,0.6464226641856757,0.0,WARNING,SAFE,normal,bsp_2,0.6464226641856757
104,bsp_6,0.48432822115656604,1.204415815700506e-57,CAUTION,SAFE,normal,bsp_2,0.48432822115656604
105,bsp_5,0.0,0.6546093106750642,SAFE,WARNING,normal,bsp_2,0.6546093106750642
126,bsp_7,0.0,0.4309693661963477,SAFE,CAUTION,normal,bsp_2,0.4309693661963477
137,bsd_demo_1,0.6442904449162533,0.0,WARNING,SAFE,normal,bsp_2,0.6442904449162533
139,bsp_7,0.0,0.6363271861334204,SAFE,WARNING,normal,bsp_2,0.6363271861334204
173,bsp_8,0.40802445257784503,0.0,CAUTION,SAFE,normal,bsd_demo_1,0.40802445257784503
174,bsp_8,0.36070534012178745,0.0,CAUTION,SAFE,normal,bsd_demo_1,0.36070534012178745
174,bsp_9,0.0,0.46779985271422336,SAFE,CAUTION,normal,bsd_demo_1,0.46779985271422336
175,bsp_9,0.0,0.49229511634737333,SAFE,CAUTION,normal,bsd_demo_1,0.49229511634737333
176,bsp_9,0.0,0.5938293249479494,SAFE,CAUTION,normal,bsd_demo_1,0.5938293249479494
208,bsd_demo_3,0.0,0.7391747388956298,SAFE,WARNING,normal,9,0.7391747388956298
209,bsd_demo_3,0.0,0.7365081701866604,SAFE,WARNING,normal,9,0.7365081701866604
210,bsd_demo_3,0.0,0.7550954656250329,SAFE,WARNING,normal,9,0.7550954656250329
211,bsd_demo_3,0.0,0.7414165865113912,SAFE,WARNING,normal,9,0.7414165865113912
212,bsd_demo_3,0.0,0.7559315485689403,SAFE,WARNING,normal,9,0.7559315485689403
213,bsd_demo_3,0.0,0.6855141866223563,SAFE,WARNING,normal,9,0.6855141866223563
214,bsd_demo_3,0.0,0.7492760878022366,SAFE,WARNING,normal,9,0.7492760878022366
215,bsd_demo_3,0.0,0.6987717120671559,SAFE,WARNING,normal,9,0.6987717120671559
216,bsd_demo_3,0.0,0.6768022270855629,SAFE,WARNING,normal,9,0.6768022270855629
217,bsd_demo_3,0.0,0.5430900039882981,SAFE,CAUTION,normal,9,0.5430900039882981
218,bsd_demo_3,0.0,0.47543202649450067,SAFE,CAUTION,normal,9,0.47543202649450067
218,bsd_demo_4,0.6570534016870228,0.0,WARNING,SAFE,normal,9,0.6570534016870228
219,bsd_demo_3,0.0,0.35974707178181214,SAFE,CAUTION,normal,9,0.35974707178181214
219,bsd_demo_4,0.666787771236383,0.0,WARNING,SAFE,normal,9,0.666787771236383
220,bsd_demo_4,0.6964480234722427,0.0,WARNING,SAFE,normal,9,0.6964480234722427
221,bsd_demo_4,0.636840518585152,0.0,WARNING,SAFE,normal,9,0.636840518585152
222,bsd_demo_4,0.7141165791357451,0.0,WARNING,SAFE,normal,9,0.7141165791357451
223,bsd_demo_4,0.6206094788183769,0.0,WARNING,SAFE,normal,9,0.6206094788183769
243,bsp_12,0.37332865429578205,0.0,CAUTION,SAFE,normal,bsp_10,0.37332865429578205
244,bsp_12,0.7517136908586941,0.0,CAUTION,SAFE,normal,bsp_10,0.7517136908586941
245,bsp_12,0.38349313687192854,0.0,CAUTION,SAFE,normal,bsp_10,0.38349313687192854
246,bsp_12,0.5540290153019024,0.0,CAUTION,SAFE,normal,bsp_10,0.5540290153019024
247,bsp_12,0.478288323309456,0.0,CAUTION,SAFE,normal,bsp_10,0.478288323309456
287,bsd_demo_5,0.6563409636062619,0.0,WARNING,SAFE,normal,bsd_demo_6,0.6563409636062619
288,bsd_demo_5,0.5030525369090549,0.0,CAUTION,SAFE,normal,bsd_demo_6,0.5030525369090549
288,bsp_17,0.0,0.4165583519019832,SAFE,CAUTION,normal,bsp_16,0.4165583519019832
289,bsd_demo_5,0.7014667183315831,0.0,CAUTION,SAFE,normal,bsd_demo_6,0.7014667183315831
290,bsd_demo_5,0.7336319965957909,0.0,CAUTION,SAFE,normal,bsd_demo_6,0.7336319965957909
291,bsd_demo_5,0.7427066457025658,0.0,WARNING,SAFE,normal,bsd_demo_6,0.7427066457025658
292,bsd_demo_5,0.7462453712848321,0.0,WARNING,SAFE,normal,bsd_demo_6,0.7462453712848321
293,bsd_demo_5,0.6511280200395257,0.0,WARNING,SAFE,normal,bsd_demo_6,0.6511280200395257
294,bsd_demo_5,0.6205409206324107,0.0,WARNING,SAFE,normal,bsd_demo_6,0.6205409206324107
295,bsd_demo_5,0.4606832909620703,0.0,CAUTION,SAFE,normal,bsd_demo_6,0.4606832909620703
295,bsd_demo_6,0.0,0.7428532478801062,SAFE,WARNING,normal,bsd_demo_5,0.7428532478801062
296,bsd_demo_6,0.0,0.7565312920541243,SAFE,WARNING,normal,bsd_demo_5,0.7565312920541243
297,bsd_demo_6,0.0,0.6885566616907094,SAFE,WARNING,normal,bsd_demo_5,0.6885566616907094
321,bsd_demo_6,0.0,0.4843860037883724,SAFE,CAUTION,TSV,bsd_demo_5,0.4843860037883724
332,bsd_demo_6,0.0,0.4998309019237432,SAFE,CAUTION,TSV,bsd_demo_5,0.4998309019237432
333,bsd_demo_6,0.0,0.43763073215593795,SAFE,CAUTION,TSV,bsd_demo_5,0.43763073215593795
339,6,7.098671796224265e-19,0.5870586209724861,SAFE,CAUTION,TSV,5,0.5870586209724861
339,8,7.049685990182501e-17,0.5974514019701507,SAFE,CAUTION,TSV,9,0.5974514019701507
340,6,4.479574759385661e-20,0.5780290935243594,SAFE,CAUTION,TSV,5,0.5780290935243594
340,8,0.0,0.5567768069588662,SAFE,CAUTION,TSV,9,0.5567768069588662
341,6,8.770267843288314e-19,0.5226231931608044,SAFE,CAUTION,TSV,5,0.5226231931608044
341,8,0.0,0.5194156646252607,SAFE,CAUTION,TSV,9,0.5194156646252607
342,6,1.2999296576899827e-17,0.5486303244089611,SAFE,CAUTION,TSV,5,0.5486303244089611
342,8,0.0,0.6081699370027057,SAFE,CAUTION,TSV,9,0.6081699370027057
343,6,1.8353465408002863e-15,0.5157741799568858,SAFE,CAUTION,TSV,5,0.5157741799568858
346,bsp_20,0.6956855737474047,0.0,WARNING,SAFE,TSV,18,0.6956855737474047
346,bsp_21,0.0,0.7867218772107124,SAFE,WARNING,TSV,bsp_19,0.7867218772107124
347,bsp_21,0.0,0.8434736610115303,SAFE,WARNING,TSV,bsp_19,0.8434736610115303
348,bsp_21,0.0,0.7282643070068695,SAFE,WARNING,TSV,bsp_19,0.7282643070068695
349,bsp_21,0.0,0.844971427138183,SAFE,WARNING,TSV,bsp_19,0.844971427138183
356,bsd_demo_7,0.6248154198857439,0.0,WARNING,SAFE,TSV,bsd_demo_8,0.6248154198857439
357,bsd_demo_7,0.34647937858605155,0.0,CAUTION,SAFE,TSV,bsd_demo_8,0.34647937858605155
359,6,0.7249914628413087,9.052414709351117e-40,WARNING,SAFE,TSV,5,0.7249914628413087
360,6,0.6703396549463895,9.374086290836574e-36,WARNING,SAFE,TSV,5,0.6703396549463895
361,6,0.6046919901593362,8.991857900592493e-35,WARNING,SAFE,normal,5,0.6046919901593362
362,6,0.573685090220853,1.3845795781586451e-31,CAUTION,SAFE,normal,5,0.573685090220853
363,6,0.45291778648055714,4.101531415030031e-29,CAUTION,SAFE,normal,5,0.45291778648055714
365,bsp_22,0.700405453702931,0.0,WARNING,SAFE,normal,18,0.700405453702931
366,bsp_22,0.7396639282023421,0.0,WARNING,SAFE,normal,18,0.7396639282023421
367,bsp_22,0.6882787696188916,0.0,WARNING,SAFE,normal,18,0.6882787696188916
368,bsp_22,0.4970978797009416,0.0,CAUTION,SAFE,normal,18,0.4970978797009416
369,bsp_23,0.0,0.7551342193612494,SAFE,WARNING,normal,bsp_21,0.7551342193612494
370,bsd_demo_7,0.650078874057337,0.0,WARNING,SAFE,normal,bsd_demo_8,0.650078874057337
371,bsd_demo_7,0.614545164439573,0.0,WARNING,SAFE,normal,bsd_demo_8,0.614545164439573
372,bsd_demo_7,0.7301726451083567,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7301726451083567
373,bsd_demo_7,0.7503106062225144,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7503106062225144
374,bsd_demo_7,0.7377474697458724,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7377474697458724
375,bsd_demo_7,0.6888601661534082,0.0,WARNING,SAFE,normal,bsd_demo_8,0.6888601661534082
376,bsd_demo_7,0.6810627180968042,0.0,WARNING,SAFE,normal,bsd_demo_8,0.6810627180968042
377,bsd_demo_7,0.7000641405531831,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7000641405531831
377,bsd_demo_8,0.0,0.4265992396963959,SAFE,CAUTION,normal,bsd_demo_7,0.4265992396963959
378,bsd_demo_7,0.7514663861042659,0.0,WARNING,SAFE,normal,bsd_demo_8,0.7514663861042659
378,bsd_demo_8,0.0,0.3981497242155384,SAFE,CAUTION,normal,bsd_demo_7,0.3981497242155384
